SOURCE	TARGET	Type	Language	Word	Source_Gloss	Target_Gloss	Direction
lean	infertile (soil)	Polysemy	German	mager	lean, meagre	barren, infertile	→
lean	infertile (soil)	Polysemy	Turkish	arık	lean	barren, infertile	—
lean	infertile (soil)	Polysemy	German	dürr	lean	lean (soil)	—
lean	infertile (soil)	Polysemy	Tigrinya	ʕabärä	&#39;to become or grow thin, lose weight (person), to become gaunt (cattle)&#39;	&#39;to dry out, become bare of vegetation (soil)&#39;	—
lean	infertile (soil)	Polysemy	Spanish	delgado	thin, lean	poor, lean (soil)	→
lean	infertile (soil)	Polysemy	Tigrinya	räḳḳiḳ̆	&#39;thin&#39;	&#39;barren (soil)&#39;	—
lean	infertile (soil)	Polysemy	Russian	toščij	lean	lean	—
lean	infertile (soil)	Polysemy	Mandarin Chinese	báo	thin	barren, infertile (earth)	→
lean	infertile (soil)	Polysemy	French	maigre	lean	infertile (soil)	—
greedy	deaf	Polysemy	Kalmyk	хату	stingy	dull of ear	
greedy	deaf	Polysemy	Kazakh	сараң	stingy	deaf	
greedy	very	Borrowing			strongly	greedy	
greedy	missing, failing	Polysemy	Russian	skupoj	too thrifty	scanty	
greedy	missing, failing	Polysemy	Lezgian	mišeqːat	stingy	poor (in smth)	
dry	emotionless	Polysemy	Russian	suhoj	dry, not wet	dry speech	
dry	emotionless	Derivation	Tibetan		dry, withered	dry, boring speech	
dry	emotionless	Polysemy	Lezgian	q’uru	dry	empty, useless, groundless	
dry	emotionless	Polysemy	French	sec	dry	emotionless	→
dry	emotionless	Polysemy	Norwegian	tørr	dry	emotionless	→
dry	emotionless	Polysemy	Swedish	torr	dry	emotionless	→
dry	emotionless	Polysemy	Icelandic	þurr	dry	emotionless	→
dry	emotionless	Polysemy	Hungarian	száraz	dry	emotionless	→
dry	in vain	Polysemy	Yakut	кураанах	dry	empty, hollow, useless	→
dry	obstinate	Polysemy	Amharic	däräḳ	&#39;dry, dried, dried-out&#39;	&#39;stubborn, persistent (person)&#39;	
dry	obstinate	Derivation	Tigrinya		&#39;dry, dried, dried up&#39;	&#39;harsh, hard, tough; obstinate, pigheaded, self-willed, stiffnecked, stubborn&#39; (KT 1320)	
dry	lean	Polysemy	Swahili	nywea	to dry, to wither	to lose weight	—
dry	lean	Polysemy	Azeri	quru-	to dry	to lose weight	→
dry	lean	Polysemy	Russian	sohnut&#39;	to dry	to lose flesh, to emaciate	→
dry	lean	Polysemy	Gagauz	kuru	dry, withered	thin, lean	→
dry	lean	Polysemy	Mandarin Chinese	gān	dry	exhausted	→
dry	lean	Polysemy	Erzya	коське	dry	thin, lean	→
dry	lean	Polysemy	Swahili	nyaa	to dry, to wither	to decrease (in size)	—
dry	lean	Polysemy	French	sec	dry, withered, dried	gaunt, lean, thin	→
dry	lean	Polysemy	Classical Arabic	yabs-, yabas-	&#39;dry, dried up&#39;	lean	—
dry	lean	Derivation	Lithuanian		to dry, to wither	thin, lean (person)	—
dry	lean	Polysemy	Adyghe	jeʁʷǝƛ&#39;en	to stick, to dry on	to lose weight, to be done up	→
dry	lean	Polysemy	Amharic	däräḳ	&#39;dry, dried, dried-out&#39;	&#39;badly nourished or fed (and hence gaunt)&#39;	—
dry	lean	Polysemy	Ancient Greek	ἰσχνός	dry, withered	thin, lean	→
dry	lean	Polysemy	Hungarian	száraz	dry	lean	→
dry	hard, solid	Polysemy	Nganasan	косӱо	dry	hard	
dry	hard, solid	Polysemy	Icelandic	þurr	dry	stale (bread)	
dry	having no milk	Polysemy	Tigrinya	näḳ̆äṣä	to become dry, to dry up	to be dry (cow of milk)	—
dry	having no milk	Polysemy	Classical Arabic	yabs-, yabas-	dry, dried up, exsiccated	who has no milk	—
dry	having no milk	Polysemy	Amharic	näṭṭäfä	to dry up, go dry (river, spring in the dry season)	to stop giving milk (cow, nursing mother)	→
dry	having no milk	Polysemy	English	dry	dry	having no milk (a cow etc.)	→
dry	land (vs. sea)	Derivation	Icelandic		dry	land	→
dry	land (vs. sea)	Derivation	Russian		dry	land	→
dry	land (vs. sea)	Polysemy	Karaim	куру	dry	land	→
dry	land (vs. sea)	Derivation	Modern Written Arabic		dry, dried up, exsiccated	land, terra firma	→
dry	cruel	Polysemy	Tigrinya	näḳ̆äṣä	&#39;to become dry, to dry up&#39;	&#39;to be harsh, cruel, heartless, pitiless&#39;	→
dry	bad	Polysemy	Arabic	ybis- yabs-, yabas-	&#39;cухой&#39;	bad	
dry	to grow numb	Polysemy	Arabic	yabs-, yabas-	&#39;cухой&#39;	paralyzed, petrified	
dry	boring	Polysemy	Icelandic	þurr	dry	boring	—
dry	boring	Polysemy	Norwegian	tørr	dry	boring	→
dry	boring	Polysemy	Danish	tør	dry	boring	→
dry	boring	Polysemy	Swedish	torr	dry	boring	→
dry	taciturn	Polysemy	Icelandic	þurr	dry	laconic	—
dry	severe	Polysemy	Farsi	хошк	dry, withered, fruitless	severe (character)	
dry	dirty	Polysemy	Khmer	crɔmu:h	dry, dried	dirty, solied	—
dry	sad	Polysemy	Khmer	crɔmi:h	dry, dried	sad	→
dry	Boletus edulis	Derivation	Russian		dry	Boletus edulis	→
to shake	to distort	Polysemy	Mongolian (Khalkha)	guyvuula-	to shake	to distort	→
to shake	to speak	Polysemy	Russian	boltat&#39;	to chat, babble	to chat, babble	
to shake	to beat, hit	Polysemy	Spanish	sacudir	to shake	to beat	—
to shake	to beat, hit	Polysemy	Modern Greek	τραντάζω	to shake (air, soil etc)	to strike, to hit (substandard)	—
to shake	to beat, hit	Cognates			to shake, to swing, to rock, to wobble	to beat	→
to shake	to beat, hit	Polysemy	Turkish	salla-	to shake, to swing, to rock, to wobble	to slap in the face (argot)	→
oar	shoulder-blade, scapula	Polysemy	Tibetan	skya	shoulder blade	paddle	
oar	to row (with oars)	Derivation	Portuguese		paddle	to row	→
oar	to row (with oars)	Derivation	Indonesian		paddle	to row	→
oar	to row (with oars)	Derivation	German		paddle	to row	→
shoulder-blade, scapula	hump (of a person or camel)	Polysemy	Lezgian	k’ul	shoulder blade	hunch	
to throw	to leave	Polysemy	Yakut	кэбис-	to throw, to cast, to launch	to leave	→
to throw	to leave	Polysemy	Komi	шыбитны	to throw	to leave	→
to throw	to leave	Polysemy	Japanese	suteru (捨てる)	to throw	to leave	→
to throw	to leave	Polysemy	Yakut	бырах-	to throw, to cast	to leave, to quit	→
to throw	to leave	Polysemy	Tabassaran	debčub	to throw, to lay nearby	to leave, to drop (smn)	
to throw	to leave	Polysemy	Swahili	tupa	to throw, to cast	to leave, to quit	
to throw	to leave	Derivation	Russian		to throw	to leave	
to throw	to leave	Polysemy	Russian	brosat&#39;	to throw	to leave	
to throw	to leave	Polysemy	Tibetan	bskyur	to throw, to cast	to leave	
to throw	to leave	Polysemy	Geez	gadafa	to throw	to leave, to neglect, abandon	→
to throw	to leave	Polysemy	Amharic	ṭalä	to throw	to abandon; to repudiate a family member	→
to throw	to leave	Polysemy	Swahili	gea	to throw, to cast	to leave	→
to throw	to leave	Polysemy	Ancient Greek	ῥίπτω	to throw, to cast	to leave	→
to throw	to think	Polysemy	Tibetan	aphen-pa	to throw, to cast, to launch	to think over, to reflect	
to throw	to come (of an event)	Polysemy	Turkish	at-	to throw, to cast	to come, to begin	→
to throw	to tell lie	Polysemy	Turkish	at-	to throw	to lie	—
to throw	to give up, stop doing	Polysemy	Yakut	кэбис-	to throw, to cast, to launch	to stop	→
to throw	to give up, stop doing	Polysemy	Saamic	вуэлльктэ	to throw	to stop	→
to throw	to give up, stop doing	Polysemy	Tabassaran	dipub	to put, to throw	to give up, to stop	—
to throw	to give up, stop doing	Polysemy	Russian	brosat&#39;	to throw	to give up	→
to throw	to give up, stop doing	Polysemy	Swahili	tupa	to throw, to cast	to give up, to neglect (work)	—
to throw	to give up, stop doing	Polysemy	Ennemor	ṭəḇäṭäfä	to throw (viscuous material)	to abandon work without completing it	→
to throw	to give up, stop doing	Polysemy	Komi	шыбитны	to throw	to give up doing smth	→
to throw	to give up, stop doing	Polysemy	Mongolian (Khalkha)	orhi-	to throw, to cast	to leave, to quit	—
to throw	to shear	Polysemy	Ingush	tasːa	to throuw, to cast	to shear	
to throw	to accuse, blame	Polysemy	German	vorwerfen	to throw forwards	to accuse	→
to throw	to accuse, blame	Polysemy	Classical Arabic	ramā´	to throw, cast, fling	to reproach, upbraid	→
to throw	to accuse, blame	Derivation	Ancient Greek		to throw	to accuse, to calumniate	→
to throw	to accuse, blame	Derivation	Geez		to throw	to accuse of a crime, to callumniate, to incriminate, to accuse	→
to throw	to run	Derivation	Ancient Greek		to throw, to cast	to run, to rush	
to throw	to run	Derivation	Russian		to throw	to rush	
to throw	to run	Derivation	Russian		to throw	to fling at	
to throw	to run	Polysemy	Amharic	täwänäč̣č̣äfä	to be hurled (stones, etc.), to be thrown	to move quickly (vi), to pass by quickly, fly past	→
to throw	to spring, jump	Polysemy	Tabassaran	gat’abxub	to throw, to cast	to fling, to throw oneself	
to throw	to tear, rend	Cognates			to throw	to tear, to rip	—
to throw	to tear, rend	Polysemy	Turkish	atmak	to throw	to burst, to crack	
to throw	&lt;unit of length&gt;	Derivation	Ukrainian		to throw	a distance that one can throw a stone for	
to throw	&lt;unit of length&gt;	Derivation	Russian		to launch, to toss	&lt;unit of length&gt;	
to throw	&lt;unit of length&gt;	Derivation	Russian		to throw, to cast	length unit (= 5,029 m)	
to throw	to shoot	Polysemy	Chuvash	per-	to throw (about), to launch	to shoot	→
to throw	to shoot	Polysemy	Old Norse	skjóta	to throw	to shoot	
to throw	to shoot	Polysemy	Italian	tirare	to throw	to shoot	
to throw	to shoot	Polysemy	Turkish	at-	to throw	to shoot	—
to throw	to shoot	Polysemy	Spanish	disparar	to throw, to launch	to shoot	
to throw	to shoot	Polysemy	Munji	droy-	to throw	to shoot	
to throw	to shoot	Polysemy	Tigre	darbā	to throw	to shoot	→
to throw	to shoot	Polysemy	Modern Greek	βάλλω	to throw	to shoot	
to throw	to shoot	Polysemy	Farsi	äндахтäн	to throw, to cast	to shoot	
to throw	to winnow	Polysemy	Tigre	warwara	to throw (stone, spear)	to fan (corn)	→
to throw	to speak	Polysemy	Russian	brosit&#39;	to throw	to fling in smb&#39;s teeth	→
to throw	to speak	Polysemy	Komi	чöвтавны	to throw	to pronounce	→
to throw	to cast out	Polysemy	Ancient Greek	ῥίπτω	to throw, to cast	to cast out of house or land	→
to throw	to cast out	Polysemy	Hungarian	kidob	to throw out	to cast out	→
to throw	to kick	Polysemy	Romanian	a azvârli	to throw	to kick out, to fling out heels	→
to throw	to copulate	Polysemy	Tigrinya	wägärä	to throw down	(vulg.) to copulate, have intercourse with a woman	→
to throw	to draw, paint	Polysemy	Amharic	ṭalä	to throw	to draw (an ornament)	→
to throw	to sow	Polysemy	Jarawara	koro na	to throw	to plant	→
to throw	to sow	Polysemy	Hungarian	vetni	to throw	to sow	→
to throw	to sow	Polysemy	Nivaclé	-uʔ	to throw	to sow	—
to throw	to sow	Polysemy	Tindi	тІаᴴйлъʼа	to throw	to sow	—
to throw	to sow	Polysemy	Nepali	charnu	to throw, toss, cast	to sow	—
to throw	to sow	Polysemy	Telugu	vēyu	to throw	to plant, sow (crop, seed)	—
to throw	to sow	Polysemy	Otomi	poni	to throw	to sow	—
to throw	to sow	Polysemy	Buginese	garu&#39;gu&#39;, garu&#39;gusu&#39;	to scatter, strew	to sow	—
to throw	to sow	Polysemy	Hiligaynon	panglághit	to throw down in disorder, strew, spread	to sow	—
to throw	to sow	Polysemy	Hiligaynon	wág-wag, wágwag	to scatter, strew, spread, throw about	to sow	—
to throw	to sow	Polysemy	Hiligaynon	sabúd	to scatter	to sow	—
to throw	to sow	Polysemy	Lao	sȁːt	to throw at, project	to spread, sow	→
to throw	to sow	Polysemy	Lao	wāːn	to scatter, cast	to sow	—
to throw	to sow	Polysemy	Khmer	bɑh	to  to throw (away), cast, fling; to scatter; to broadcast	to sow (seed)	—
to throw	to sow	Polysemy	Indonesian	menabur	to scatter, strew (flowers, etc.).	to sow (seeds)	—
to throw	to sow	Polysemy	Indonesian	menyebar(kan)	to to scatter, strew	to sow	—
to throw	to sow	Polysemy	Ilocano	purwak	to scatter, throw away	to sow	—
to throw	to sow	Polysemy	Malay	tebar	to throw	to sow	—
to throw	to sow	Polysemy	Maranao	pirik	to throw	to sow, scatter	—
to throw	to sow	Polysemy	Shan	waan2	to scatter, throw about; cast (as a net)	to sow (as seed)	—
to throw	to sow	Polysemy	Shan	tsaat2	to scatter, throw about	to sow (seed)	—
to throw	to sow	Polysemy	Vietnamese	gieo	to throw; hurl, fling	to sow	—
to throw	to sow	Polysemy	Udmurt	пазяны	to throw (something in different directions)	to sow (manually)	→
to throw	quick	Polysemy			to throw, fling, toss	speed, rapidity, fleetness	—
to leave	to let	Polysemy	Geez	ḫadaga	leave, abandon	allow, permit	—
to leave	to let	Polysemy	Lango	wɛkkò	leave	let, allow	—
to leave	to let	Polysemy	Swahili	acha	leave	allow, permit	—
to leave	to let	Polysemy	Yoruba	fisílẹ	leave	allow	—
to leave	to let	Polysemy	English	leave	go away from	permit, allow (colloquial, chiefly U.S.)	—
to leave	to let	Polysemy	Gagauz	brak-	to leave, to quit, to abandon	to let do smth	—
to leave	to let	Polysemy	Kannada	biḍu	let loose, quit (as work), go away	allow, permit	—
to leave	to let	Polysemy	Hausa	bari, bar	leave	let, allow	—
to leave	to forgive	Polysemy	Geez	ḫadaga	abandon, leave	forgive	→
to give birth	to cause	Polysemy	Japanese	umu (生む)	to give birth to	to lead to, to result in	—
to give birth	to cause	Derivation	Russian		to give birth to	to cause	→
to give birth	to cause	Polysemy	Tibetan	skyed-pa	to give birth	cause	—
to give birth	to cause	Polysemy	French	engendrer	to give birth	to lead to	—
to give birth	to cause	Polysemy	Hungarian	szül	to deliver (a child)	to cause	—
to give birth	to cry, weep	Polysemy	Karaim	кÿстÿн-	to give birth to; to labour (in birthgiving)	to groan, sigh	
to give birth	parents	Derivation	Old Slavonic		to give birth	parent	→
to give birth	parents	Derivation	Ancient Greek		to give birth to	parents	→
to give birth	parents	Derivation	Latin		bear, beget	parents	→
to give birth	parents	Derivation	Old Irish		bear, beget	parents	→
to give birth	parents	Derivation	Gothic		bear	parents	→
to give birth	parents	Derivation	Ancient Greek		to give birth to	parents	
to give birth	parents	Derivation	Arabic		to give birth to	parents	→
to give birth	parents	Derivation	Latin		beget	begetter, father	→
to give birth	parents	Derivation	Welsh		be born	parents	→
to give birth	parents	Derivation	Lithuanian		bear, beget	parents	→
to give birth	stork (Ciconia)	Derivation	Serbo-Croatian		to give birth to	stork	→
to give birth	to deceive	Polysemy	Mandarin Chinese	dàn	to give birth to	to deceive	→
skilful, dexterous	comfortable	Polysemy	Yakut	нымса	quick, nimble, deft	comfortable (clothes)	
to carry	to move	Polysemy	Tibetan	skyel-ba	to carry, to transport	to change one&#39;s dwelling place	—
to carry	to endure	Polysemy	Armenian	krel	to carry	to suffer, to undergo	
to carry	to endure	Polysemy	English	bear	to transfer, to transport [НБАРС 205]	to stand, to bear [НБАРС 183]	
to carry	to endure	Polysemy	German	tragen	to carry [НЕМ 847]	to stand, to bear [НЕМ 847]	
to carry	to endure	Polysemy	Geez	ṣora	to carry [LGz. 567]	to bear [LGz. 567]	
to carry	to endure	Derivation	Arabic		to carry (a burden) [BK I 494-495]	to bear	
to carry	to endure	Polysemy	Saamic	кӯннѣтэ	to carry, to trasnport	to endure	
to carry	to endure	Derivation	Russian		to carry	to bear	
to carry	to endure	Polysemy	Armenian	tanel	to carry	to stand, to bear	
to carry	to endure	Polysemy	Middle Persian (Pahlavi)	bar-	to carry, to trasnport	to stand, to bear	
to carry	to endure	Polysemy	Ancient Greek	ὀχέω	to carry	to stand, to bear	
to carry	to endure	Polysemy	Swahili	beba	to carry on one&#39;s back	to bear, to stand	
to carry	to endure	Polysemy	Ancient Greek	φέρω	to carry	to bear, to stand	→
to carry	to endure	Polysemy	Botlikh	барлIи	to carry, to bear	to endure	→
to carry	pregnant	Semantic evolution			to carry	pregnant	—
to carry	pregnant	Derivation	German		to carry	pregnant (animal)	→
to carry	pregnant	Polysemy	Russian	nosit&#39;	to carry	to bear (a child)	→
to carry	pregnant	Derivation	Lithuanian		carry	pregnant	→
to carry	pregnant	Derivation	Arabic		to carry	to become pregnant	→
to carry	pregnant	Polysemy	Farsi		carrying, transporting	pregnant	—
to carry	pregnant	Derivation	Breton		bear	pregnant	→
to carry	pregnant	Derivation	Ancient Greek		to carry	fruit of the womb (lit. burden)	→
to carry	pregnant	Polysemy	Karakhanid Uighur	кутур-	to carry	to get pregnant	→
to carry	to win	Derivation	Russian	vynesti	to bring away	to beat in competition	
to carry	to win	Polysemy	Lezgian	tuχun	to carry, drag	to win (in a game)	
to carry	to give birth	Cognates	Icelandic	bera	to carry	to bring forth (offsprings)	→
to carry	to give birth	Polysemy	Shughni	vār-	to bring	to give birth	→
to carry	to give birth	Polysemy	Russian	nesti	to carry	to lay	→
to carry	to give birth	Polysemy	Erzya	калдомс	to carry	to give birth	→
to carry	to give birth	Polysemy	Norwegian	bære	to carry	to deliver (a child)	→
to carry	to give birth	Polysemy	Danish	bære	to carry	to deliver (a child)	→
to carry	to steal	Derivation	Russian		to carry	thief (who steals thinks from work)	
to carry	to steal	Derivation	Russian		to draw, to pull	to steal	
to carry	to endure a load	Polysemy	Botlikh	барлIи	to carry; to bear	to endure a load	→
to carry	to lead	Polysemy	Hungarian	visz	to carry	to lead, take somewhere	—
to move	to go mad	Derivation	Russian	tronut&#39;sja	to start moving	to go slightly mad	→
to move	to go mad	Polysemy	Russian	sdvinut&#39;sja	to shift, to move aside	to go mad	→
to move	animal	Derivation	Mandarin Chinese		to move	animal	→
to move	animal	Derivation	Hani		to move	animal	→
to move	to perform	Polysemy	Kannada	jarugu	to move, to push aside &lt;&lt;something&gt;&gt;	to perform &lt;&lt;a program, seminar, etc.&gt;&gt;, to manage &lt;&lt;a business, etc.&gt;&gt;	—
to move	to perform	Derivation	Russian		to move aside	to perform (a speech)	—
to move	to perform	Polysemy	Russian	толкнуть/ tolknut’	to push	to perform ( a speech)	—
corner	gulf	Polysemy	Mongolian (Khalkha)	bulan	corner (inner)	gulf, bay, backwater, cape	—
corner	gulf	Polysemy	Tibetan	khug	corner, nook	gulf, bay, infall (river)	
corner	jaw	Polysemy	Turkish	muş	corner (dial.)	jaw (dial.)	
corner	knee	Derivation	Ket		river bend	knee	←
corner	knee	Cognates			corner	knee	
corner	knee	Polysemy	Ingush		bend, curve, turn	elbow, knee, shank	
merry, funny, cheerful	profligate, womanizer	Polysemy	Tibetan	khrul-po	vivacious, cheerful	adulterer	
merry, funny, cheerful	profligate, womanizer	Polysemy	Russian	veselyj	cheerful	cheerful	
merry, funny, cheerful	profligate, womanizer	Polysemy	English	gay	cheerful	of easy virtue	
merry, funny, cheerful	drunk	Polysemy	Farsi	шäнгул	cheerful, happy, vivacious	tipsy	—
merry, funny, cheerful	drunk	Derivation	Russian		cheerful	tipsy	→
merry, funny, cheerful	drunk	Polysemy	Sanskrit	pramada	cheerful	drunk	—
merry, funny, cheerful	rainbow	Derivation	Lithuanian		cheerful	rainbow	
merry, funny, cheerful	rainbow	Derivation	Ukrainian		cheerful	rainbow	→
to shrink	to understand	Polysemy	Tibetan	akhum-pa	to shrink, to contract	to understand, to comprehend	—
mud	untruth	Polysemy	Tibetan	rdzab-rdzub	dirt, mud, dirty	lie, fraud, false, delusive	
mud	swamp	Cognates			dirt, mud	marsh	
mud	swamp	Polysemy	Sanskrit	jambāla	dirt, mud	marsh	—
mud	swamp	Polysemy	Azeri	zıǧlı	dirty	boggy, swampy	—
mud	faeces	Polysemy	Icelandic	saur	dirt, mud	faeces	
mud	faeces	Polysemy	Sanskrit	várcas	dirt, mud	excrement	—
mud	faeces	Cognates		kal	dirt, mud	faeces	
mud	faeces	Polysemy	Serbo-Croatian	pogan	dirt, mud	faeces	
mud	faeces	Polysemy	English	dirt	Excrement, faeces	dirt, waste	
mud	faeces	Polysemy	Karaim	йэрэнчилик	dirt, mud	dung	
mud	faeces	Polysemy	Gagauz	mındarla-	to make dirty, to soli	to shit, to crap (animals)	
mud	faeces	Polysemy	Sanskrit	viṣṭhā	cloaca	faeces	—
mud	faeces	Polysemy	Farsi	пäлиди	cloaca, dirt	excrements	
mud	faeces	Polysemy	Mandarin Chinese	fèn	feces, human waste, dung	waste, rubbish	—
mud	faeces	Polysemy	Koryak	г&#39;алэг&#39;ал	dirt, mud	excrements	—
mud	faeces	Polysemy	Icelandic	skítur	dirt, mud	faeces	—
mud	faeces	Polysemy	Romani	khul	dirt	shit	—
mud	faeces	Polysemy	Norwegian	skitt	mud	faeces	→
mud	faeces	Polysemy	Danish	skidt	mud	faeces	→
mud	penis	Polysemy	Romani	mel	dirt, filth	penis	→
mud	sweat	Polysemy	Romani	mel	dust, smut	sweat	→
to press down	to guess	Polysemy	Tibetan	rdzi-ba	to press, to squeeze	to oppress	
to press down	to visit	Polysemy	Tibetan	bcar-ba	to press, to jam, to squeeze	to visit	
to press down	to approach, come near	Polysemy	Mongolian (Khalkha)	šaha-	to press,to wring, to squeeze	to approach	
to press down	to approach, come near	Polysemy	Tibetan	bcar-ba	to press, to wring, to squeeze	intimacy, close, intimate	
to press down	to make do smth.	Polysemy	Yakut	кыhай-	to press, to squeeze, to fasten	to force	→
to press down	to choke	Cognates			to press	to strangle, to press [Павлович 1976: 64]	
to press down	to oppress	Polysemy	Lezgian	ezmišun	to press, to wring, to squeeze	to suppress, to conquer	—
to press down	to oppress	Polysemy	Ancient Greek	θλίβω	to press, to jam, to squeeze, to compress	to depress, to torment	→
to press down	to oppress	Polysemy	Mongolian (Khalkha)		to press, to squeeze	to oppress	→
to press down	to oppress	Derivation	Russian		to press, to squeeze	to make feel inferior	→
to press down	to oppress	Derivation	English		to press	to oppress	→
to press down	to oppress	Polysemy	Amharic	č̣äḳḳʷänä	to press, to squeeze (juice)	to oppress	—
to press down	to oppress	Polysemy	Akkadian	seʔû	to press down (on something)	to put down (by military force), to oppress	—
to press down	to oppress	Polysemy	Yakut	баттаа-	to press, to wring, to squeeze	to oppress, to offend	—
to press down	to oppress	Polysemy	Russian	gnet	to press down	press	—
to press down	to oppress	Polysemy	Tibetan	gnon-sa	to press, to wring, to tighten	to oppress, to suppress, to tame	—
to press down	to oppress	Polysemy	Erzya	лепштямс	to press, to tighten	to depress	→
to press down	to oppress	Polysemy	Ancient Greek	πιέζω	to press, to tighten	to oppress	→
to press down	to oppress	Derivation	Norwegian		to press down	to oppress	→
to press down	to oppress	Derivation	Danish		to press down	to oppress	→
to press down	to oppress	Derivation	Swedish		to press down	to oppress	→
to press down	to oppress	Derivation	Hungarian		to press down	to oppress	→
to press down	to oppress	Polysemy	Udmurt	пачкатыны	to press down	to oppress	→
to press down	to print	Borrowing			to press	to print	
to press down	to print	Polysemy	German	drücken	to press	to print	
to press down	to print	Polysemy	Hungarian	nyom	to press	to print	—
to press down	to print	Semantic evolution			to press	to print	
to press down	to print	Polysemy	Norwegian	trykke	to press down	to print	→
to press down	to print	Polysemy	Danish	trykke	to press down	to print	→
to press down	to print	Polysemy	Swedish	trycka	to press down	to print	→
to press down	to restrain, control one’s feelings	Polysemy	Ancient Greek	πιέζω	to press	to restrain	→
to press down	to restrain, control one’s feelings	Polysemy	Russian	podavit&#39;	to suppress	to suppress	—
to press down	to restrain, control one’s feelings	Polysemy	Mandarin Chinese	yā	to press	to restrain, to bottle up (feeling)	—
to press down	to restrain, control one’s feelings	Polysemy	Romanian	a călca	to tread, to trample	to restrain, to bottle up (feeling)	→
to press down	to restrain, control one’s feelings	Derivation	Norwegian		to press down	to restrain, control one’s feelings	→
to press down	to restrain, control one’s feelings	Derivation	Danish		to press down	to restrain, control one’s feelings	→
to press down	to restrain, control one’s feelings	Derivation	Swedish		to press down	to restrain, control one’s feelings	→
to press down	to hinder	Polysemy	Arabic	ʕáṣara	to press,to wring, to squeeze	to prevent from	
to press down	to suck	Polysemy	Tigre	ṣamma	to press, to wring, to wring	to suck, to drink	→
to press down	to hatch out, brood	Polysemy	Yakut	баттаа-	to press, to wring, to squeeze	to hatch	→
to press down	brave	Polysemy	Tibetan	gnon-pa	to press, to wring, to squeeze	courage	
to press down	greedy	Derivation	Komi		to press, to squeeze	stingy	→
to press down	greedy	Derivation	Russian		to squeeze, to clench	meanie	→
to press down	gloomy	Polysemy	Spanish		to press down	to depress	→
to guess	to understand	Polysemy	Ingush	qeta	to hit (smn)	to be aware, to perceive, to comprehend	→
fire	Tuesday	Derivation	Mongolian (Khalkha)		fire	Mars; Tuesday (lit. the day of Mars)	→
fire	Tuesday	Derivation	Japanese		fire	Tuesday	→
fire	inflammation	Polysemy	English	fire	fire	fever (obs.)	→
fire	inflammation	Polysemy	Ancient Greek	φλέγμα	fire	inflammation	—
fire	inflammation	Polysemy	French	feu	fire	inflammation	→
fire	inflammation	Polysemy	Swahili	waka	to burn (to ashes), to catch fire	to hurt intensly, to burn (wound), to inflammate	→
fire	inflammation	Polysemy	Latin	ignis	fire	high temperature, fever	→
fire	inflammation	Polysemy	Romanian	a se aprinde	to catch fire	to inflame	→
fire	inflammation	Polysemy	Lezgian	c’aj	fire	malaria	→
fire	inflammation	Polysemy	Turkish	ateş	fire	fever	—
fire	inflammation	Polysemy	Akkadian	išātu	&#39;fire&#39;	&#39;abscess, inflammation&#39;	→
fire	inflammation	Derivation	Latin		flame, fire	inflammation (med.)	→
fire	inflammation	Polysemy	Komi	би	fire, flame	fever	—
fire	inflammation	Polysemy	Russian		to burn	to inflame	→
fire	inflammation	Derivation	German		to kindle, to light	inflammation	—
fire	very	Polysemy	Komi	би	fire, flame	very, too much	→
fire	electricity	Derivation	Lao		fire	electricity	→
fire	electricity	Polysemy	Burmese	мѝ	fire, flame	light, electricity	→
fire	electricity	Derivation	Khmer		fire	electricity	→
fire	electricity	Polysemy	Yaqui (Hiaki)	tahi	fire, flame	electricity	→
fire	war	Polysemy	Tigrinya	barəʕ	&#39;conflagration, brushfire, blaze&#39;	&#39;conflict, war&#39;	→
fire	hell	Borrowing		nīrān	fires	hell	→
fire	hell	Polysemy	Tamil	eri	fire	hell	→
fire	to shoot	Polysemy	Meadow Mari	тул	fire	shooting	→
fire	to shoot	Polysemy	English	fire	fire	the shooting of projectiles from weapons, especially bullets from guns	→
fire	to shoot	Polysemy	Spanish	fuego	fire	shooting (of weapons)	→
fire	to shoot	Polysemy	Turkish	ateş	fire	shooting (of weapons)	→
fire	to shoot	Polysemy	Polish	ogień	fire	shooting (of weapons)	→
fire	to shoot	Polysemy	Armenian	krak (կրակ)	fire	shooting (of weapons)	→
fire	to shoot	Polysemy	Bashkir	ут	fire	shooting (of weapons)	→
fire	to shoot	Polysemy	Dutch	vuur	fire	shooting (of weapons)	→
fire	to shoot	Polysemy	Erzya	тол	fire	shooting (of weapons)	→
fire	to shoot	Polysemy	Hungarian	tűz	fire	shooting (of weapons)	→
fire	to shoot	Polysemy	Lithuanian	ugnìs	fire	shooting (of weapons)	→
fire	to shoot	Polysemy	Somali	dab	fire	shooting (of weapons)	→
eunuch	woman	Polysemy	Tibetan	ca-ma	castrate	woman	
woman	person	Polysemy	Anmatjirra (Anmatyerre)	arilh	woman	person	
woman	wife	Polysemy	Sanskrit	vanitā	woman	loved wife , mistress	←
woman	wife	Polysemy	Swahili	mke	wife	woman	—
woman	wife	Derivation	Kott		woman	wife	—
woman	wife	Polysemy	Farsi	зäн	woman	wife	
woman	wife	Polysemy	Burmese	мэ̀йммá	woman	wife	—
woman	wife	Derivation	Arin		woman	wife	→
woman	wife	Polysemy	Sanskrit	jáni	woman	wife	—
woman	wife	Polysemy	French	femme	woman	wife	—
woman	wife	Polysemy	Armenian	kin	woman	wife	
